paper,num_blocks,reps_per_block
AbelerFalkGoetteHuffman_2011,0,100
AkerKsollLybbert_2012,0,100
AlatasBanerjeeHannaOlkenTobias_2012,0,100
AngristLangOreopoulos_2009,100,100
AngristLavy_2009,100,100
AshrafBerryShapiro_2010,0,100
Ashraf_2009,100,100
BarreraOsorioBertrandLindenPerezCalle_2011,0,100
BeamanMagruder_2012,0,100
BurdeLinden_2013,0,100
CaiChenFang_2009,100,100
CallenIsaqzadehLongSprenger_2014,100,100
CameraCasari_2014,0,100
CarpenterMatthewsSchirm_2010,0,100
ChenChen_2011,0,100
ChenHarperKonstanLi_2010,0,0
ChenLi_2009,0,100
ColeGineTobacmanTopalovaTownsendVickery_2013,0,100
DeMelMcKenzieWoodruff_2009,0,100
DeMelMcKenzieWoodruff_2013,0,100
DufloDupasKremer_2011,0,0
DufloHannaRyan_2012,100,100
DufloKremerRobinson_2011,0,0
DupasRobinson_2013a,0,100
DupasRobinson_2013b,0,0
Dupas_2011,0,0
ErikssonRooth_2014,0,100
ErkalGangadharanNikiforakis_2011,0,0
FehrGoette_2007,0,100
FieldJayachandranPande_2010,0,100
FieldPandePappRigol_2013,0,100
FongLuttmer_2009,0,0
GalianiRossiSchargrodsky_2011,0,100
GerberKarlanBergan_2009,0,100
GertlerMartinezRubio-Codina_2012,0,100
GineGoldbergYang_2012,0,0
GineJakielaKarlanMorduch_2010,0,100
GuryanKroftNotowidigdo_2009,100,100
HeffetzShayo_2009,0,100
IfcherZarghamee_2011,0,100
KarlanList_2007,0,0
KosfeldNeckermann_2011,0,100
KubeMarechalPuppe_2012,0,100
LandryLangeListPriceRupp_2010,0,100
LarkinLeider_2012,0,100
LazearMalmendierWeber_2012,0,100
MacoursSchadyVakis_2012,0,0
OsterThornton_2011,0,100
Robinson_2012,0,100
Sautmann_2013,0,100
Thornton_2008,0,100
VosslerDoyonRondeau_2012,0,100
WisdomDownsLoewenstein_2010,0,100
